t_rel_s,sim_joint6_deg,real_joint6_deg
2.2920,28.3806,28.3806
2.2960,28.3805,28.3806
2.3000,28.3806,28.3806
2.3040,28.3805,28.3806
2.3080,28.3805,28.3806
2.3120,28.3806,28.3806
2.3160,28.3806,28.3806
2.3200,28.3806,28.3806
2.3240,28.3805,28.3806
2.3280,28.3805,28.3805
2.3320,28.3806,28.3805
2.3360,28.3806,28.3805
2.3400,28.3806,28.3805
2.3440,28.3805,28.3805
2.3480,28.3805,28.3805
2.3520,28.3805,28.3806
2.3560,28.3805,28.3805
2.3600,28.3806,28.3805
2.3640,28.3806,28.3805
2.3680,28.3806,28.3805
2.3720,28.3806,28.3805
2.3760,28.3805,28.3805
2.3800,28.3806,28.3805
2.3840,28.3806,28.3805
2.3880,28.3805,28.3805
2.3920,28.3805,28.3805
2.3960,28.3805,28.3805
2.4000,28.3806,28.3805
2.4040,28.3806,28.3805
2.4080,28.3806,28.3805
2.4120,28.3805,28.3805
2.4160,28.3805,28.3805
2.4200,28.3805,28.3805
2.4240,28.3805,28.3805
2.4280,28.3806,28.3805
2.4320,28.3805,28.3805
2.4360,28.3805,28.3805
2.4400,28.3805,28.3805
2.4440,28.3805,28.3805
2.4480,28.3805,28.3805
2.4520,28.3806,28.3805
2.4560,28.3805,28.3805
2.4600,28.3805,28.3805
2.4640,28.3805,28.3805
2.4680,28.3805,28.3805
2.4720,28.3805,28.3805
2.4760,28.3805,28.3805
2.4800,28.3806,28.3805
2.4840,28.3805,28.3805
2.4880,28.3805,28.3805
2.4920,28.3805,28.3805
2.4960,28.3805,28.3805
2.5000,28.3805,28.3805
2.5040,28.3805,28.3805
2.5080,28.3805,28.3805
2.5120,28.3805,28.3805
2.5160,28.3806,28.3805
2.5200,28.3807,28.3805
2.5240,28.3804,28.3805
2.5280,28.3806,28.3805
2.5320,28.3804,28.3805
2.5360,28.3807,28.3805
2.5400,28.3803,28.3805
2.5440,28.3807,28.3805
2.5480,28.3803,28.3805
2.5520,28.3806,28.3805
2.5560,28.3804,28.3805
2.5600,28.3808,28.3806
2.5640,28.3804,28.3806
2.5680,28.3808,28.3806
2.5720,28.3804,28.3806
2.5760,28.3807,28.3806
2.5800,28.3804,28.3806
2.5840,28.3807,28.3806
2.5880,28.3804,28.3806
2.5920,28.3806,28.3806
2.5960,28.3804,28.3806
2.6000,28.3807,28.3806
2.6040,28.3804,28.3806
2.6080,28.3806,28.3806
2.6120,28.3805,28.3806
2.6160,28.3807,28.3806
2.6200,28.3802,28.3806
2.6240,28.3807,28.3806
2.6280,28.3804,28.3806
2.6320,28.3808,28.3806
2.6360,28.3804,28.3806
2.6400,28.3807,28.3807
2.6440,28.3805,28.3807
2.6480,28.3808,28.3807
2.6520,28.3804,28.3807
2.6560,28.3807,28.3807
2.6600,28.3804,28.3807
2.6640,28.3808,28.3807
2.6680,28.3805,28.3807
2.6720,28.3807,28.3807
2.6760,28.3804,28.3807
2.6800,28.3808,28.3807
2.6840,28.3804,28.3807
2.6880,28.3808,28.3807
2.6920,28.3805,28.3807
2.6960,28.3808,28.3807
2.7000,28.3805,28.3807
2.7040,28.3808,28.3807
2.7080,28.3804,28.3807
2.7120,28.3808,28.3808
