t_rel_s,sim_Little_deg,real_Little_deg
2.9040,32.8403,42.2699
2.9080,32.8403,42.2699
2.9120,32.8403,42.2699
2.9160,33.4846,42.2699
2.9200,34.0976,42.2699
2.9240,34.0976,42.2699
2.9280,34.0976,42.2699
2.9320,34.0976,42.2699
2.9360,34.0976,42.2699
2.9400,34.6927,42.2699
2.9440,35.1872,42.2699
2.9480,35.1872,42.2699
2.9520,35.1872,42.2699
2.9560,35.1872,42.2699
2.9600,35.6683,42.2699
2.9640,36.1316,42.2699
2.9680,36.1316,42.2699
2.9720,36.1316,42.2699
2.9760,36.1316,42.2699
2.9800,36.5437,42.2699
2.9840,36.9500,42.2699
2.9880,36.9500,42.2699
2.9920,36.9500,42.2699
2.9960,36.9500,42.2699
3.0000,36.9500,42.2699
3.0040,36.9500,42.2699
3.0080,36.9500,42.2699
3.0120,36.9500,42.2699
3.0160,36.9500,42.2699
3.0200,37.2984,42.2699
3.0240,37.6593,42.2699
3.0280,37.6593,42.2699
3.0320,37.6593,42.2699
3.0360,37.6593,42.2699
3.0400,37.9707,42.2699
3.0440,38.2741,42.2699
3.0480,38.2741,42.2699
3.0520,38.2741,42.2699
3.0560,38.2741,42.2699
3.0600,38.5468,42.2699
3.0640,38.8068,42.2699
3.0680,38.8068,42.2699
3.0720,38.8068,42.2699
3.0760,38.8068,42.2699
3.0800,39.0580,42.2699
3.0840,39.2686,42.2699
3.0880,39.2686,42.2699
3.0920,39.2686,42.2699
3.0960,39.2686,42.2699
3.1000,39.4830,42.2699
3.1040,39.8848,42.2699
3.1080,40.2924,42.2699
3.1120,40.6874,42.2699
3.1160,41.0886,42.2699
3.1200,41.4928,42.2699
3.1240,41.8899,42.2699
3.1280,42.1802,42.2699
3.1320,42.2699,42.2699
3.1360,42.2699,42.2699
3.1400,42.2699,42.2699
3.1440,42.2699,42.2699
3.1480,42.2699,42.2699
3.1520,42.2699,42.2699
3.1560,42.2699,42.2699
3.1600,42.2699,42.2699
3.1640,42.2699,42.2699
3.1680,42.2699,42.2699
3.1720,42.2699,42.2699
3.1760,42.2699,42.2699
3.1800,42.2699,42.2699
3.1840,42.2699,42.2699
3.1880,42.2699,42.2699
3.1920,42.2699,42.2699
3.1960,42.2699,42.2699
3.2000,42.2699,42.2699
3.2040,42.2699,42.2699
3.2080,42.2699,42.2699
3.2120,42.2699,42.2699
3.2160,42.2699,42.2699
3.2200,42.2699,42.2699
3.2240,42.2699,42.2699
3.2280,42.2699,42.2699
3.2320,42.2699,42.2699
3.2360,42.2699,42.2699
3.2400,42.2699,42.2699
3.2440,42.2699,42.2699
3.2480,42.2699,42.2699
3.2520,42.2699,42.2699
3.2560,42.2699,42.2699
3.2600,42.2699,42.2699
3.2640,42.2699,42.2699
3.2680,42.2699,42.2699
3.2720,42.2699,42.2699
3.2760,42.2699,42.2699
3.2800,42.2699,42.2699
3.2840,42.2699,42.2699
3.2880,42.2699,42.2699
3.2920,42.2699,42.2699
3.2960,42.2699,42.2699
3.3000,42.2699,42.2699
3.3040,42.2699,42.2699
3.3080,42.2699,42.2699
3.3120,42.2699,42.2699
3.3160,42.2699,42.2699
3.3200,42.2699,42.2699
3.3240,42.2699,42.2699
3.3280,42.2699,42.2699
3.3320,42.2699,42.2699
3.3360,42.2699,42.2699
3.3400,42.2699,42.2699
3.3440,42.2699,42.2699
3.3480,42.2699,42.2699
3.3520,42.2699,42.2699
3.3560,42.2699,42.2699
3.3600,42.2699,42.2699
3.3640,42.2699,42.2699
3.3680,42.2699,42.2699
3.3720,42.2699,42.2699
3.3760,42.2699,42.2699
3.3800,42.2699,42.2699
3.3840,42.2699,42.2699
3.3880,42.2699,42.2699
3.3920,42.2699,42.2699
3.3960,42.2699,42.2699
3.4000,42.2699,42.2699
3.4040,42.2699,42.2699
3.4080,42.2699,42.2699
3.4120,42.2699,42.2699
3.4160,42.2699,42.2699
3.4200,42.2699,42.2699
3.4240,42.2699,42.2699
3.4280,42.2699,42.2699
3.4320,42.2699,42.2699
3.4360,42.2699,42.2699
3.4400,42.2699,42.2699
3.4440,42.2699,42.2699
3.4480,42.2699,42.2699
3.4520,42.2699,42.2699
3.4560,42.2699,42.2699
3.4600,42.2699,42.2699
3.4640,42.2699,42.2699
3.4680,42.2699,42.2699
3.4720,42.2699,42.2699
3.4760,42.2699,42.2699
3.4800,42.2699,42.2699
3.4840,42.2699,42.2699
3.4880,42.2699,42.2699
3.4920,42.2699,42.2699
3.4960,42.2699,42.2699
3.5000,42.2699,42.2699
3.5040,42.2699,42.2699
3.5080,42.2699,42.2699
3.5120,42.2699,42.2699
3.5160,42.2699,42.2699
3.5200,42.2699,42.2699
3.5240,42.2699,42.2699
3.5280,42.2699,42.2699
3.5320,42.2699,42.2699
3.5360,42.2699,42.2699
3.5400,42.2699,42.2699
3.5440,42.2699,42.2699
3.5480,42.2699,42.2699
3.5520,42.2699,42.2699
3.5560,42.2699,42.2699
3.5600,42.2699,42.2699
3.5640,42.2699,42.2699
3.5680,42.2699,42.2699
3.5720,42.2699,42.2699
3.5760,42.2699,42.2699
3.5800,42.2699,42.2699
3.5840,42.2699,42.2699
3.5880,42.2699,42.2699
3.5920,42.2699,42.2699
3.5960,42.2699,42.2699
3.6000,42.2699,42.2699
3.6040,42.2699,42.2699
3.6080,42.2699,42.2699
3.6120,42.2699,42.2699
3.6160,42.2699,42.2699
3.6200,42.2699,42.2699
3.6240,42.2699,42.2699
3.6280,42.2699,42.2699
3.6320,42.2699,42.2699
3.6360,42.2699,42.2699
3.6400,42.2699,42.2699
3.6440,42.2699,42.2699
3.6480,42.2699,42.2699
3.6520,42.2699,42.2699
3.6560,42.2699,42.2699
3.6600,42.2699,42.2699
3.6640,42.2699,42.2699
3.6680,42.2699,42.2699
3.6720,42.2699,42.2699
3.6760,42.2699,42.2699
3.6800,42.2699,42.2699
3.6840,42.2699,42.2699
3.6880,42.2699,42.1018
3.6920,42.2699,41.6716
3.6960,42.2699,41.6020
3.7000,42.2699,41.6020
